costat,curcd,datafmt,indfmt,consol,gvkey,fyear,act,at,lct,lt,pstkrv,seq,dvt,ni,capx,csho,derhedgl,dt,mkvalt,prcc_f
A,USD,STD,INDL,C,001659,2013,1221.7840,2273.5560,992.3330,1549.1350,0.0000,701.4740,12.1110,89.9390,139.3700,18.7930,,427.2110,1675.7718,89.170000000000
A,USD,STD,INDL,C,001661,2013,2753.8300,12159.8110,1311.4240,6109.4460,75.8000,6038.2740,50.1680,142.9820,1178.2050,295.2970,,3914.3020,5017.0960,16.990000000000
A,USD,STD,INDL,C,001678,2013,6366.0000,61637.0000,4700.0000,26244.0000,0.0000,33396.0000,361.0000,2232.0000,11220.0000,395.7730,-399.0000,9725.0000,34012.7316,85.940000000000
I,USD,STD,INDL,C,001681,2013,5.6920,27.7010,13.2980,14.2980,0.0000,13.4030,0.0000,-2.5180,0.0410,50.3870,,1.0000,20.1548,0.400000000000
I,USD,STD,INDL,C,001682,2013,87.3420,375.2540,37.2270,59.7960,0.0000,315.2030,0.0000,18.4960,49.8940,29.4420,,7.5000,459.0008,15.590000000000
A,USD,STD,INDL,C,001686,2013,242.7920,565.3570,136.8340,212.7270,0.0000,352.6300,10.7640,27.9860,41.8520,28.9580,,20.7080,991.2323,34.230000000000
A,USD,STD,INDL,C,001689,2013,803.0400,11310.6480,1085.3760,8081.2160,0.0000,3229.4320,285.0000,193.2110,380.9740,13.5000,,,,
A,USD,STD,INDL,C,001690,2013,73286.0000,207000.0000,43658.0000,83451.0000,0.0000,123549.0000,10676.0000,37037.0000,8165.0000,899.2130,-306.0000,16960.0000,428699.7978,476.750000000000
A,USD,STD,INDL,C,001704,2013,5642.0000,12043.0000,2443.0000,4955.0000,0.0000,7088.0000,469.0000,256.0000,197.0000,1204.0000,,1946.0000,21497.4200,17.855000000000
A,USD,STD,INDL,C,001706,2013,785.2400,2119.3320,321.8420,1039.0650,0.0000,1080.2670,2.9270,30.0480,23.6680,73.0180,,515.0000,2608.2030,35.720000000000
I,USD,STD,INDL,C,001712,2013,46.3500,143.6670,14.2880,40.4480,0.0000,102.9300,0.0000,19.4980,6.8280,23.8000,-0.3010,13.2390,298.6900,12.550000000000
A,USD,STD,INDL,C,001718,2013,0.0060,0.5850,0.2180,0.3120,0.0250,0.2730,0.0000,0.0340,0.0000,45.8540,,0.0550,0.4585,0.010000000000
A,USD,STD,INDL,C,001722,2013,28530.0000,43752.0000,15658.0000,23558.0000,0.0000,20156.0000,501.0000,1342.0000,913.0000,659.0000,61.0000,6512.0000,28600.6000,43.400000000000
A,USD,STD,INDL,C,001742,2013,944.7270,13381.3770,1580.8470,8926.5030,0.0000,4308.8840,244.8000,424.9690,1031.1830,71.2650,,,,
